Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
CRTC1	chr19	18683679	chr19	18648806	18650232	0.961039	TEAD1,(0.995004995004995),NR3C1,(0.989010989010989),ATOH1,(0.971028971028971),ZIC1,(0.966033966033966),OSR1,(0.951048951048951),TP73,(0.95004995004995),TFCP2L1,(0.839160839160839),KLF8,(0.825174825174825),
CRTC1	chr19	18683679	chr19	18650244	18651253	0.979021	TFEB,(1),BACH1,(1),CREB3L2,(1),SMARCC1,(1),NR4A3,(1),ESR2,(1),FOSB,(0.999000999000999),JDP2,(0.999000999000999),FOSL1,(0.999000999000999),NR2C1,(0.999000999000999),NR4A2,(0.999000999000999),HES1,(0.998001998001998),JUN,(0.998001998001998),MAF,(0.998001998001998),ESR1,(0.998001998001998),NR4A1,(0.998001998001998),ZIC3,(0.997002997002997),BACH2,(0.996003996003996),JUNB,(0.996003996003996),MITF,(0.995004995004995),NFE2,(0.995004995004995),FOSL2,(0.987012987012987),
CTNNA1	chr5	138753385	chr5	138753967	138754767	0.973027	KLF3,(0.993006993006993),NR4A2,(0.975024975024975),RARA,(0.952047952047952),NR2F1,(0.95004995004995),NR4A3,(0.897102897102897),
DCAKD	chr17	45061131	chr17	45018883	45019909	0.967033	HNF4G,(0.986013986013986),ESRRG,(0.951048951048951),ESRRB,(0.949050949050949),ESRRA,(0.924075924075924),RORA,(0.822177822177822),
DCBLD1	chr6	117482603	chr6	117168589	117169441	0.954046	MAF,(0.967032967032967),ESRRA,(0.955044955044955),ESRRG,(0.932067932067932),NR4A1,(0.875124875124875),
DCBLD1	chr6	117482603	chr6	117328187	117329075	0.969031	RORC,(0.998001998001998),PPARD,(0.996003996003996),RXRA,(0.993006993006993),RORA,(0.982017982017982),RXRG,(0.964035964035964),NR4A2,(0.959040959040959),NR2E1,(0.862137862137862),
DCUN1D1	chr3	182985918	chr3	183392089	183393067	0.956044	HNF4G,(1),HES1,(0.998001998001998),KLF3,(0.998001998001998),TFEB,(0.996003996003996),NR1H3,(0.996003996003996),HNF4A,(0.995004995004995),ZKSCAN4,(0.989010989010989),ATOH1,(0.977022977022977),ZNF784,(0.973026973026973),NR5A2,(0.89010989010989),NR2F6,(0.832167832167832),
DCUN1D1	chr3	182985918	chr3	183447180	183448135	0.97003	HES1,(0.962037962037962),ESRRB,(0.957042957042957),NR4A3,(0.949050949050949),NR4A2,(0.936063936063936),ESRRG,(0.934065934065934),NR3C1,(0.92007992007992),ESRRA,(0.918081918081918),NR2F6,(0.883116883116883),NR1H3,(0.879120879120879),NR4A1,(0.808191808191808),
DGKZ	chr11	46332925	chr11	46710594	46711594	0.953047	ESR2,(0.993006993006993),ESR1,(0.903096903096903),RARA,(0.887112887112887),MYF5,(0.803196803196803),
DHDDS	chr1	26432281	chr1	26061452	26062257	0.961039	ESRRG,(0.982017982017982),NR2C1,(0.977022977022977),NR2F1,(0.972027972027972),NR1I3,(0.966033966033966),ESRRA,(0.955044955044955),NR4A3,(0.952047952047952),PPARD,(0.95004995004995),ESRRB,(0.939060939060939),NR1I2,(0.896103896103896),NR6A1,(0.85014985014985),NR5A2,(0.84015984015984),
DHRS4-AS1	chr14	23955112	chr14	23551343	23552222	0.996004	ZNF219,(0.946053946053946),TP73,(0.932067932067932),
DHRS7B	chr17	21126927	chr17	21041661	21042464	0.964036	ESRRA,(0.918081918081918),NR1I3,(0.915084915084915),
DLAT	chr11	112025407	chr11	111549275	111550239	0.979021	MITF,(1),ZKSCAN3,(1),NR4A3,(1),ATOH1,(0.998001998001998),TFEB,(0.997002997002997),NR4A2,(0.997002997002997),TCF7L2,(0.997002997002997),ZKSCAN4,(0.994005994005994),FOSL2,(0.924075924075924),
DLAT	chr11	112025407	chr11	111988409	111989364	0.986014	JUN,(0.974025974025974),BACH1,(0.946053946053946),PPARD,(0.932067932067932),RXRA,(0.901098901098901),RXRB,(0.892107892107892),
DLAT	chr11	112025407	chr11	112100141	112101061	0.977023	MAF,(0.949050949050949),RORA,(0.919080919080919),TEAD1,(0.909090909090909),NR2C1,(0.88011988011988),ESRRB,(0.843156843156843),ZNF219,(0.832167832167832),
DLGAP4	chr20	36306338	chr20	36463632	36464451	0.986014	NR4A1,(1),RORC,(1),KLF3,(0.999000999000999),RXRG,(0.999000999000999),RORA,(0.997002997002997),RXRA,(0.997002997002997),PPARD,(0.996003996003996),NR4A3,(0.996003996003996),NR4A2,(0.995004995004995),NR2F6,(0.994005994005994),
DLGAP4	chr20	36306338	chr20	36480498	36481354	0.995005	KLF8,(0.989010989010989),
DLGAP4-AS1	chr20	36573275	chr20	36463632	36464451	0.991009	NR4A1,(1),RORC,(1),KLF3,(0.999000999000999),RXRG,(0.999000999000999),RORA,(0.997002997002997),RXRA,(0.997002997002997),PPARD,(0.996003996003996),NR4A3,(0.996003996003996),NR4A2,(0.995004995004995),NR2F6,(0.994005994005994),
DLGAP4-AS1	chr20	36573275	chr20	36480498	36481354	0.996004	KLF8,(0.989010989010989),
DNAJC27	chr2	24972094	chr2	25303108	25304090	0.96004	NPAS2,(0.999000999000999),RXRG,(0.995004995004995),MYC,(0.991008991008991),NR2F6,(0.991008991008991),RXRA,(0.99000999000999),MEIS1,(0.989010989010989),TEAD1,(0.988011988011988),MXI1,(0.984015984015984),NR3C1,(0.967032967032967),RORA,(0.964035964035964),MYCN,(0.958041958041958),ZIC3,(0.875124875124875),NR1H3,(0.804195804195804),
DNAJC3	chr13	95677138	chr13	95270889	95271863	0.961039	RORC,(0.951048951048951),FOSL1,(0.93006993006993),SMARCC1,(0.918081918081918),NR4A3,(0.899100899100899),RORA,(0.887112887112887),HNF4A,(0.882117882117882),
DOP1B	chr21	36156781	chr21	36171588	36172570	0.982018	HES1,(1),KLF3,(1),RARB,(1),NR4A2,(1),NR3C1,(0.999000999000999),ESRRA,(0.999000999000999),MAF,(0.98001998001998),PGR,(0.98001998001998),ESR1,(0.962037962037962),ESR2,(0.933066933066933),RARG,(0.924075924075924),
DOP1B	chr21	36156781	chr21	36186698	36187536	0.98002	NR6A1,(0.98001998001998),MEIS1,(0.974025974025974),NR2C1,(0.963036963036963),KLF8,(0.921078921078921),SNAI2,(0.911088911088911),NR2F6,(0.814185814185814),
DUS2	chr16	68023283	chr16	67549331	67550261	0.978022	NR2F1,(1),MXI1,(0.997002997002997),NR2F6,(0.993006993006993),ATOH1,(0.992007992007992),NR1H3,(0.961038961038961),RXRA,(0.946053946053946),GCM1,(0.934065934065934),RXRB,(0.915084915084915),RARA,(0.864135864135864),RORC,(0.839160839160839),
DUSP3	chr17	43778977	chr17	43774642	43775628	0.966034	ESRRB,(0.967032967032967),PPARD,(0.935064935064935),OSR1,(0.919080919080919),MEIS1,(0.915084915084915),NR5A2,(0.81018981018981),TFCP2L1,(0.807192807192807),
EBF3	chr10	129964274	chr10	130337290	130338341	0.976024	NR4A2,(1),NR4A3,(0.999000999000999),NR4A1,(0.999000999000999),NR1I2,(0.999000999000999),PPARD,(0.998001998001998),ESRRB,(0.997002997002997),RORA,(0.996003996003996),ESRRA,(0.994005994005994),ZKSCAN4,(0.992007992007992),NR5A1,(0.984015984015984),PPARA,(0.981018981018981),ZKSCAN3,(0.948051948051948),NR2F2,(0.887112887112887),NR2F1,(0.851148851148851),RARB,(0.843156843156843),
EIF3A	chr10	119080817	chr10	119003201	119004235	0.973027	MYOD1,(1),TCF7L2,(0.999000999000999),MEIS2,(0.997002997002997),RARA,(0.995004995004995),NR1H2,(0.986013986013986),TGIF2,(0.979020979020979),NR1I3,(0.965034965034965),HLTF,(0.911088911088911),GLIS1,(0.894105894105894),

EIF3A	chr10	119080817	chr10	119032273	119033273	0.972028	NR2F1,(0.999000999000999),NR6A1,(0.993006993006993),ZNF219,(0.988011988011988),ESRRA,(0.978021978021978),ESRRG,(0.977022977022977),KLF8,(0.963036963036963),NR4A1,(0.955044955044955),NR4A3,(0.952047952047952),NR1I3,(0.894105894105894),ZKSCAN4,(0.879120879120879),NR1H3,(0.807192807192807),
EIF4EBP2	chr10	70404144	chr10	70478124	70479089	0.979021	CREB3L2,(0.978021978021978),MXI1,(0.977022977022977),HEY1,(0.974025974025974),ZNF691,(0.95004995004995),
ELAVL1	chr19	8005641	chr19	8342827	8343766	0.955045	ZNF784,(1),ZNF219,(0.999000999000999),NR3C1,(0.997002997002997),TEAD1,(0.997002997002997),NR2E1,(0.959040959040959),NR2F2,(0.922077922077922),
ELAVL1	chr19	8005641	chr19	8347617	8348517	0.957043	HES1,(1),ESRRG,(1),TEAD1,(1),RORA,(0.999000999000999),ATOH1,(0.999000999000999),PPARG,(0.998001998001998),ESRRA,(0.998001998001998),ZNF691,(0.981018981018981),ESRRB,(0.971028971028971),SNAI2,(0.919080919080919),ESR2,(0.912087912087912),NR4A1,(0.871128871128871),ESR1,(0.851148851148851),
EMC1-AS1	chr1	19210385	chr1	19596518	19597487	0.978022	PPARG,(0.97002997002997),NR5A2,(0.958041958041958),ESRRG,(0.949050949050949),TEAD1,(0.947052947052947),ATOH1,(0.894105894105894),HNF4G,(0.893106893106893),NR4A3,(0.883116883116883),RXRB,(0.864135864135864),NR2F1,(0.854145854145854),ESRRA,(0.84015984015984),ZNF784,(0.834165834165834),NR2C1,(0.831168831168831),HES1,(0.825174825174825),PPARD,(0.801198801198801),
ENDOD1	chr11	95089845	chr11	95096049	95096986	0.969031	BACH1,(0.992007992007992),RARA,(0.986013986013986),FOSB,(0.979020979020979),NR4A2,(0.965034965034965),FOSL2,(0.961038961038961),GCM1,(0.96003996003996),SMARCC1,(0.96003996003996),MEIS1,(0.946053946053946),NR4A3,(0.943056943056943),NR2C1,(0.93006993006993),TGIF2,(0.926073926073926),FOSL1,(0.924075924075924),OSR1,(0.924075924075924),JUNB,(0.877122877122877),RORB,(0.818181818181818),
ENO1	chr1	8878686	chr1	8424528	8425385	0.954046	TCF7L2,(0.989010989010989),NR4A3,(0.985014985014985),NR4A2,(0.976023976023976),PPARA,(0.973026973026973),NR3C1,(0.911088911088911),MTF1,(0.836163836163836),
ENO1	chr1	8878686	chr1	9127152	9128031	0.981019	RARA,(0.996003996003996),KLF3,(0.992007992007992),TEAD1,(0.984015984015984),NR4A2,(0.982017982017982),ESRRB,(0.967032967032967),ZKSCAN4,(0.956043956043956),ESRRG,(0.95004995004995),RORA,(0.948051948051948),NR4A1,(0.928071928071928),ZKSCAN3,(0.856143856143856),MAF,(0.851148851148851),
ENPP5	chr6	46171010	chr6	45998080	45999092	0.955045	ATOH1,(0.993006993006993),HNF4G,(0.992007992007992),RORC,(0.963036963036963),SNAI2,(0.961038961038961),NR2E1,(0.956043956043956),RORA,(0.94005994005994),MITF,(0.892107892107892),MYOD1,(0.874125874125874),
ENPP5	chr6	46171010	chr6	46170554	46171522	0.996004	ZNF219,(0.982017982017982),
ENPP5	chr6	46171010	chr6	46172055	46172942	0.979021	NPAS2,(0.998001998001998),PPARG,(0.995004995004995),TCF7L2,(0.988011988011988),NR3C1,(0.982017982017982),SNAI2,(0.947052947052947),RORA,(0.942057942057942),NR4A3,(0.925074925074925),NR1H2,(0.925074925074925),RORB,(0.887112887112887),
EPS15L1	chr19	16472012	chr19	16341948	16342981	0.97003	MEIS2,(0.999000999000999),ESRRB,(0.999000999000999),NR4A1,(0.998001998001998),ESRRG,(0.996003996003996),NR2F1,(0.974025974025974),ZIC3,(0.96003996003996),NR1H3,(0.952047952047952),TFCP2,(0.907092907092907),FOSB,(0.816183816183816),ESRRA,(0.801198801198801),
ERAP1	chr5	96814145	chr5	97061718	97062793	0.957043	NR4A2,(1),MYC,(0.999000999000999),MXI1,(0.998001998001998),CREB3L2,(0.997002997002997),TCF7L2,(0.997002997002997),NR1I2,(0.996003996003996),NR2F1,(0.993006993006993),NR4A3,(0.99000999000999),ESR2,(0.985014985014985),HNF4G,(0.979020979020979),RXRA,(0.972027972027972),NPAS2,(0.969030969030969),NR1I3,(0.967032967032967),TP73,(0.959040959040959),RARB,(0.918081918081918),NFE2,(0.896103896103896),USF1,(0.883116883116883),NR1H4,(0.804195804195804),
ETV6	chr12	11649673	chr12	11797030	11797960	0.993007	KLF3,(0.998001998001998),RORC,(0.993006993006993),ESRRB,(0.979020979020979),NR1H3,(0.977022977022977),TCF7L2,(0.942057942057942),NFE2,(0.919080919080919),MEIS2,(0.852147852147852),NR1H2,(0.8001998001998),
FABP3	chr1	31373288	chr1	31361651	31362638	0.996004	NR2E1,(0.994005994005994),TCF7L2,(0.989010989010989),MYOD1,(0.986013986013986),RARB,(0.883116883116883),
FAM110B	chr8	57994522	chr8	58078649	58079585	0.97003	NR4A1,(1),FOSB,(0.992007992007992),JUNB,(0.992007992007992),JUN,(0.992007992007992),NR4A3,(0.991008991008991),BACH2,(0.985014985014985),HES1,(0.984015984015984),SNAI2,(0.98001998001998),FOSL1,(0.977022977022977),MYF5,(0.974025974025974),FOSL2,(0.972027972027972),ESRRA,(0.959040959040959),ESRRB,(0.953046953046953),ESRRG,(0.929070929070929),BACH1,(0.927072927072927),NR2E1,(0.918081918081918),JUND,(0.876123876123876),SMARCC1,(0.824175824175824),
FAM120AOS	chr9	93453601	chr9	93098309	93099211	0.974026	SMARCC1,(0.985014985014985),FOSB,(0.98001998001998),BACH1,(0.979020979020979),JUN,(0.967032967032967),PPARD,(0.962037962037962),BACH2,(0.952047952047952),FOSL1,(0.947052947052947),NR2C1,(0.946053946053946),JUNB,(0.942057942057942),FOSL2,(0.933066933066933),NR2E1,(0.905094905094905),JDP2,(0.897102897102897),ESR1,(0.871128871128871),TP73,(0.851148851148851),ATOH1,(0.847152847152847),
FAM13C	chr10	59363181	chr10	59649652	59650574	0.954046	ZIC3,(0.991008991008991),GLI1,(0.975024975024975),NR4A2,(0.945054945054945),SNAI2,(0.896103896103896),RORC,(0.859140859140859),TP73,(0.832167832167832),
FAM181A	chr14	93918893	chr14	93927254	93928192	0.99001	RORC,(0.999000999000999),NFE2,(0.996003996003996),KLF3,(0.98001998001998),KLF8,(0.955044955044955),NR4A1,(0.861138861138861),NR4A3,(0.854145854145854),
FAM181A	chr14	93918893	chr14	93959133	93960113	0.955045	BACH1,(0.999000999000999),KLF3,(0.999000999000999),ESR2,(0.998001998001998),SMARCC1,(0.997002997002997),SNAI2,(0.996003996003996),FOSB,(0.995004995004995),JDP2,(0.992007992007992),PPARG,(0.988011988011988),JUN,(0.977022977022977),HES1,(0.969030969030969),NR4A3,(0.965034965034965),FOSL2,(0.96003996003996),ATF3,(0.955044955044955),FOSL1,(0.936063936063936),ZIC3,(0.929070929070929),ZNF784,(0.869130869130869),JUNB,(0.855144855144855),HLTF,(0.835164835164835),
FAM189A2	chr9	69324571	chr9	69605229	69606088	0.965035	HNF4A,(0.995004995004995),HNF4G,(0.983016983016983),PPARD,(0.98001998001998),RXRA,(0.973026973026973),JUN,(0.965034965034965),JUNB,(0.958041958041958),JUND,(0.925074925074925),NR2E1,(0.918081918081918),NR2F2,(0.906093906093906),RXRB,(0.88011988011988),
FARP1	chr13	98142588	chr13	98171884	98172856	0.986014	KLF3,(0.977022977022977),MAF,(0.934065934065934),ESR1,(0.911088911088911),MEIS1,(0.892107892107892),
FARP1	chr13	98142588	chr13	98173405	98174247	0.978022	TFCP2,(1),PPARD,(1),NR4A3,(1),ESRRB,(1),RORC,(1),NR4A2,(1),ESRRA,(1),ESRRG,(1),TCF7L2,(1),TEAD1,(1),MITF,(0.999000999000999),RORA,(0.999000999000999),NR2F1,(0.999000999000999),RORB,(0.998001998001998),NR4A1,(0.995004995004995),NR1I3,(0.993006993006993),NR5A2,(0.975024975024975),ESR1,(0.949050949050949),ESR2,(0.828171828171828),
FARP1	chr13	98142588	chr13	98503168	98504167	0.983017	MAF,(0.999000999000999),PPARA,(0.999000999000999),NR2F6,(0.998001998001998),NR4A3,(0.997002997002997),ESRRG,(0.996003996003996),PPARD,(0.991008991008991),RORC,(0.984015984015984),NR4A2,(0.981018981018981),RXRA,(0.977022977022977),NR2C1,(0.976023976023976),ESRRA,(0.974025974025974),ESRRB,(0.952047952047952),MYF5,(0.864135864135864),
FLCN	chr17	17237168	chr17	17682338	17683365	0.985015	NR4A2,(0.995004995004995),NR5A2,(0.992007992007992),ESRRG,(0.975024975024975),TCF7L2,(0.953046953046953),HES1,(0.908091908091908),ESRRB,(0.893106893106893),
FN3K	chr17	82735614	chr17	82888657	82889614	0.967033	MXI1,(0.995004995004995),NR4A2,(0.993006993006993),KLF3,(0.992007992007992),TFCP2,(0.992007992007992),TCF7L2,(0.991008991008991),TFEB,(0.982017982017982),HEY1,(0.981018981018981),NR4A3,(0.966033966033966),PPARG,(0.963036963036963),ZNF219,(0.949050949050949),NR2F2,(0.948051948051948),MYC,(0.944055944055944),NR6A1,(0.934065934065934),NR4A1,(0.909090909090909),
FNBP1L	chr1	93448117	chr1	93553836	93554701	0.98002	NR2F6,(0.997002997002997),NR3C1,(0.967032967032967),RXRA,(0.965034965034965),NR4A2,(0.933066933066933),PPARA,(0.889110889110889),
GALNT18	chr11	11622005	chr11	11532354	11533284	1	NR4A2,(0.986013986013986),RARA,(0.985014985014985),TGIF2,(0.977022977022977),NR4A3,(0.976023976023976),CREB3L1,(0.968031968031968),NR4A1,(0.968031968031968),
GAPDH	chr12	6534516	chr12	6452229	6452893	0.977023	TCF7L2,(0.998001998001998),NR4A3,(0.987012987012987),ESRRA,(0.981018981018981),NR1H4,(0.958041958041958),RARG,(0.954045954045954),NR4A1,(0.951048951048951),ESRRG,(0.942057942057942),MYOD1,(0.938061938061938),HES1,(0.918081918081918),ESRRB,(0.913086913086913),
GAPDH	chr12	6534516	chr12	6541293	6542158	0.973027	HES1,(0.936063936063936),RORA,(0.93006993006993),NR4A3,(0.925074925074925),KLF3,(0.869130869130869),
GAPDH	chr12	6534516	chr12	6869252	6870140	0.967033	NR4A1,(0.934065934065934),NR4A3,(0.928071928071928),NR4A2,(0.924075924075924),RXRA,(0.921078921078921),SMARCC1,(0.879120879120879),ESRRA,(0.83016983016983),ESR1,(0.828171828171828),KLF3,(0.806193806193806),
GBA2	chr9	35749228	chr9	35517298	35518309	0.956044	ESR2,(0.999000999000999),TCF7L2,(0.996003996003996),ESR1,(0.995004995004995),PPARG,(0.987012987012987),RHOXF1,(0.947052947052947),PPARD,(0.937062937062937),
GEN1	chr2	17753868	chr2	17915613	17916546	0.979021	KLF3,(0.995004995004995),NR4A2,(0.995004995004995),TEAD1,(0.994005994005994),NR4A3,(0.987012987012987),NR4A1,(0.985014985014985),NR1I2,(0.984015984015984),TP73,(0.982017982017982),NR2C1,(0.941058941058941),SNAI2,(0.908091908091908),
GOLGA4	chr3	37243270	chr3	37243909	37244778	0.981019	NR4A2,(0.915084915084915),NR2F6,(0.915084915084915),ZKSCAN4,(0.914085914085914),NR1I2,(0.87012987012987),NR2C1,(0.81018981018981),
GOT1	chr10	99430624	chr10	99392220	99393162	0.981019	KLF3,(0.99000999000999),TEAD1,(0.978021978021978),MTF1,(0.96003996003996),TCF7L2,(0.933066933066933),PPARD,(0.868131868131868),
GOT1	chr10	99430624	chr10	99433070	99434002	0.991009	NR3C1,(0.865134865134865),
GOT2	chr16	58734316	chr16	58704949	58705850	0.976024	MITF,(0.998001998001998),KLF8,(0.997002997002997),TFEB,(0.985014985014985),RORA,(0.974025974025974),NR4A1,(0.954045954045954),ESRRG,(0.951048951048951),RARA,(0.945054945054945),RORC,(0.942057942057942),NR5A1,(0.911088911088911),NR4A3,(0.881118881118881),
GOT2	chr16	58734316	chr16	58732521	58733646	0.978022	RORC,(0.994005994005994),ESR1,(0.987012987012987),ESRRG,(0.984015984015984),NR4A3,(0.982017982017982),ESRRA,(0.976023976023976),ESR2,(0.971028971028971),SMARCC1,(0.969030969030969),BACH1,(0.967032967032967),KLF3,(0.967032967032967),NR3C1,(0.934065934065934),NR4A1,(0.919080919080919),JUNB,(0.883116883116883),FOSL2,(0.822177822177822),ZIC3,(0.81018981018981),
GOT2	chr16	58734316	chr16	58733782	58734645	0.992008	TEAD1,(0.911088911088911),NR1I3,(0.879120879120879),TFCP2,(0.822177822177822),
GPR157	chr1	9129102	chr1	9127152	9128031	0.977023	RARA,(0.996003996003996),KLF3,(0.992007992007992),TEAD1,(0.984015984015984),NR4A2,(0.982017982017982),ESRRB,(0.967032967032967),ZKSCAN4,(0.956043956043956),ESRRG,(0.95004995004995),RORA,(0.948051948051948),NR4A1,(0.928071928071928),ZKSCAN3,(0.856143856143856),MAF,(0.851148851148851),
HADHB	chr2	26244747	chr2	26251545	26252484	0.975025	NR4A2,(0.996003996003996),ESRRG,(0.987012987012987),MEIS2,(0.974025974025974),MITF,(0.898101898101898),KLF8,(0.867132867132867),NR4A1,(0.852147852147852),
HDAC5	chr17	44123641	chr17	43774642	43775628	0.975025	ESRRB,(0.967032967032967),PPARD,(0.935064935064935),OSR1,(0.919080919080919),MEIS1,(0.915084915084915),NR5A2,(0.81018981018981),TFCP2L1,(0.807192807192807),
HDGFL3	chr15	83207823	chr15	82942448	82943381	0.969031	RORC,(0.994005994005994),FOSL1,(0.982017982017982),JUN,(0.963036963036963),ZIC1,(0.949050949050949),MITF,(0.946053946053946),BACH2,(0.933066933066933),SMARCC1,(0.932067932067932),ZIC3,(0.865134865134865),ZNF784,(0.839160839160839),
HHATL	chr3	42702798	chr3	42729461	42730412	0.964036	MITF,(0.998001998001998),TCF7L2,(0.995004995004995),ATOH1,(0.99000999000999),TFEB,(0.965034965034965),
HMGN2	chr1	26472439	chr1	26061452	26062257	0.981019	ESRRG,(0.982017982017982),NR2C1,(0.977022977022977),NR2F1,(0.972027972027972),NR1I3,(0.966033966033966),ESRRA,(0.955044955044955),NR4A3,(0.952047952047952),PPARD,(0.95004995004995),ESRRB,(0.939060939060939),NR1I2,(0.896103896103896),NR6A1,(0.85014985014985),NR5A2,(0.84015984015984),
HOMER1	chr5	79514134	chr5	79809489	79810414	0.961039	RORC,(1),RARA,(0.997002997002997),PPARD,(0.982017982017982),NR4A3,(0.982017982017982),NR4A2,(0.979020979020979),MEIS1,(0.969030969030969),RORA,(0.946053946053946),NR2F1,(0.943056943056943),NR1I2,(0.912087912087912),NR1I3,(0.91008991008991),NR2C1,(0.904095904095904),PPARA,(0.862137862137862),HNF4A,(0.856143856143856),
HOMER1	chr5	79514134	chr5	79837602	79838757	0.962038	ESRRG,(0.997002997002997),TCF7L2,(0.997002997002997),PPARA,(0.996003996003996),NR4A3,(0.994005994005994),ZNF691,(0.99000999000999),ESRRA,(0.987012987012987),PPARG,(0.958041958041958),NR4A1,(0.956043956043956),KLF3,(0.953046953046953),ESRRB,(0.927072927072927),NR2F2,(0.909090909090909),ESR2,(0.861138861138861),ESR1,(0.805194805194805),
HOOK2	chr19	12775552	chr19	12788275	12789092	0.962038	RARA,(0.999000999000999),ESR2,(0.992007992007992),PPARA,(0.985014985014985),PPARG,(0.962037962037962),HES1,(0.921078921078921),PPARD,(0.907092907092907),TP73,(0.841158841158841),
HSP90AA1	chr14	102139749	chr14	102442171	102443252	0.961039	PPARD,(1),NR4A1,(1),RXRA,(0.999000999000999),MEIS1,(0.996003996003996),NR4A3,(0.993006993006993),NR2E1,(0.987012987012987),ESRRA,(0.977022977022977),RXRG,(0.976023976023976),NR2C1,(0.97002997002997),ESRRG,(0.968031968031968),ZNF219,(0.962037962037962),NR2F1,(0.961038961038961),NR4A2,(0.94005994005994),HNF4G,(0.92007992007992),NR5A1,(0.886113886113886),
HSPA1A	chr6	31815542	chr6	31819369	31820087	0.967033	NR2C1,(0.991008991008991),NR1H3,(0.922077922077922),NR1I2,(0.92007992007992),RARB,(0.872127872127872),HNF4A,(0.868131868131868),NR2F2,(0.803196803196803),
IAH1	chr2	9474550	chr2	9310090	9310958	0.979021	RARA,(1),NR4A2,(1),RXRA,(0.997002997002997),KLF3,(0.994005994005994),ZKSCAN4,(0.994005994005994),NR4A1,(0.994005994005994),PPARD,(0.988011988011988),NR2C1,(0.982017982017982),RXRB,(0.971028971028971),NR2F6,(0.968031968031968),NR4A3,(0.965034965034965),MEIS1,(0.962037962037962),MYF5,(0.948051948051948),RXRG,(0.88011988011988),ESRRA,(0.876123876123876),NR2F1,(0.811188811188811),PPARA,(0.8001998001998),
IAH1	chr2	9474550	chr2	9311322	9312198	0.977023	JDP2,(0.992007992007992),NR4A2,(0.986013986013986),FOSL2,(0.984015984015984),SMARCC1,(0.972027972027972),FOSB,(0.952047952047952),NR3C1,(0.93006993006993),RORC,(0.836163836163836),JUND,(0.835164835164835),FOSL1,(0.831168831168831),
IAH1	chr2	9474550	chr2	9474195	9475166	0.983017	PPARG,(0.952047952047952),HIC1,(0.949050949050949),NR5A2,(0.915084915084915),NR1H2,(0.902097902097902),ESRRB,(0.89010989010989),NR1H3,(0.864135864135864),NR4A3,(0.807192807192807),HES1,(0.803196803196803),
IBTK	chr6	82247744	chr6	81749202	81750225	0.966034	NR4A3,(0.997002997002997),TCF7L2,(0.997002997002997),MEIS1,(0.995004995004995),PPARD,(0.988011988011988),NR3C1,(0.972027972027972),TGIF2,(0.937062937062937),HLTF,(0.93006993006993),PPARA,(0.84015984015984),MEIS2,(0.839160839160839),
IDI1	chr10	1056704	chr10	624706	625740	0.97003	NR2E1,(0.989010989010989),PPARD,(0.985014985014985),NR3C1,(0.974025974025974),SMARCC1,(0.97002997002997),BACH2,(0.967032967032967),JUN,(0.966033966033966),FOSL2,(0.957042957042957),FOSL1,(0.95004995004995),HES1,(0.948051948051948),NR2F1,(0.948051948051948),BACH1,(0.935064935064935),JUNB,(0.916083916083916),FOSB,(0.894105894105894),NR2F6,(0.883116883116883),NR2C1,(0.879120879120879),OSR1,(0.852147852147852),
IDI2-AS1	chr10	1022636	chr10	624706	625740	0.971029	NR2E1,(0.989010989010989),PPARD,(0.985014985014985),NR3C1,(0.974025974025974),SMARCC1,(0.97002997002997),BACH2,(0.967032967032967),JUN,(0.966033966033966),FOSL2,(0.957042957042957),FOSL1,(0.95004995004995),HES1,(0.948051948051948),NR2F1,(0.948051948051948),BACH1,(0.935064935064935),JUNB,(0.916083916083916),FOSB,(0.894105894105894),NR2F6,(0.883116883116883),NR2C1,(0.879120879120879),OSR1,(0.852147852147852),
IGF2R	chr6	159969098	chr6	160328140	160329116	0.968032	ESRRB,(1),NR4A1,(1),PPARD,(0.999000999000999),NR6A1,(0.995004995004995),ESRRG,(0.994005994005994),ESRRA,(0.99000999000999),NR3C1,(0.987012987012987),HLTF,(0.987012987012987),RORA,(0.921078921078921),
IP6K1	chr3	49786542	chr3	50267056	50267997	0.987013	TEAD1,(0.92007992007992),ZIC1,(0.903096903096903),RARA,(0.882117882117882),HIC1,(0.859140859140859),NR2C1,(0.856143856143856),MYOD1,(0.8001998001998),
ITGB1BP1	chr2	9423569	chr2	9310090	9310958	0.966034	RARA,(1),NR4A2,(1),RXRA,(0.997002997002997),KLF3,(0.994005994005994),ZKSCAN4,(0.994005994005994),NR4A1,(0.994005994005994),PPARD,(0.988011988011988),NR2C1,(0.982017982017982),RXRB,(0.971028971028971),NR2F6,(0.968031968031968),NR4A3,(0.965034965034965),MEIS1,(0.962037962037962),MYF5,(0.948051948051948),RXRG,(0.88011988011988),ESRRA,(0.876123876123876),NR2F1,(0.811188811188811),PPARA,(0.8001998001998),
ITGB1BP1	chr2	9423569	chr2	9311322	9312198	0.969031	JDP2,(0.992007992007992),NR4A2,(0.986013986013986),FOSL2,(0.984015984015984),SMARCC1,(0.972027972027972),FOSB,(0.952047952047952),NR3C1,(0.93006993006993),RORC,(0.836163836163836),JUND,(0.835164835164835),FOSL1,(0.831168831168831),
